age,workclass,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
18.0,Private,9,Never-married,Other-service,Not-in-family,White,Male,0,0,20,<=50K
17.0,Private,8,Never-married,Sales,Own-child,White,Female,0,0,20,<=50K
25.0,Local-gov,9,Never-married,Handlers-cleaners,Other-relative,Black,Male,0,0,40,<=50K
20.0,Private,10,Never-married,Sales,Own-child,White,Female,0,0,30,<=50K
47.0,Private,9,Never-married,Machine-op-inspct,Unmarried,Amer-Indian-Eskimo,Male,0,0,56,<=50K
33.0,Private,13,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,<=50K
38.0,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,<=50K
21.0,Private,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,<=50K
104.3098427905282,Private,12,Divorced,Prof-specialty,Not-in-family,White,Female,4650,0,40,<=50K
55.0,Private,9,Married-civ-spouse,Other-service,Wife,Black,Female,2407,0,35,<=50K
46.0,Private,13,Married-civ-spouse,Sales,Husband,White,Male,0,1977,40,>50K
34.0,Private,11,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,45,>50K
199.62646368766286,,13,Widowed,,Not-in-family,White,Female,0,0,8,<=50K
50.0,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,<=50K
29.0,Private,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,38,<=50K
62.0,Private,5,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,<=50K
56.0,Private,7,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,<=50K
40.0,Federal-gov,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,1887,40,>50K
74.0,?,5,Married-civ-spouse,?,Husband,White,Male,3471,0,40,<=50K
21.0,Private,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,54,<=50K
31.0,Private,9,Divorced,Other-service,Unmarried,White,Female,0,0,30,<=50K
36.0,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,70,>50K
36.0,Private,9,Widowed,Other-service,Unmarried,White,Female,0,0,24,<=50K
0.0,State-gov,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,>50K
32.0,Local-gov,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,<=50K
55.0,Local-gov,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,<=50K
0.0,Private,9,Married-civ-spouse,Sales,Wife,White,Female,0,0,20,<=50K
52.0,Self-emp-not-inc,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,1887,60,>50K
45.0,Self-emp-inc,13,Divorced,Exec-managerial,Unmarried,White,Male,0,0,50,>50K
119.32089743884536,Private,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,<=50K
27.0,Private,13,Never-married,Exec-managerial,Own-child,White,Female,0,0,40,<=50K
19.0,Private,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,30,<=50K
52.0,Private,14,Divorced,Prof-specialty,Unmarried,White,Male,15020,0,50,>50K
0.0,Private,13,Never-married,Tech-support,Not-in-family,White,Male,0,0,40,<=50K
50.0,Private,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,<=50K
40.0,Private,12,Divorced,Transport-moving,Unmarried,White,Female,0,0,40,<=50K
45.0,Self-emp-not-inc,10,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,50,<=50K
25.0,Private,9,Never-married,Other-service,Not-in-family,Black,Female,0,0,40,<=50K
37.0,Private,11,Never-married,Other-service,Not-in-family,White,Male,0,0,40,<=50K
49.0,Self-emp-not-inc,11,Divorced,Transport-moving,Not-in-family,White,Male,0,0,48,<=50K
40.0,Private,12,Never-married,Adm-clerical,Own-child,White,Female,0,0,45,<=50K
50.0,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,<=50K
22.0,Private,13,Never-married,Adm-clerical,Own-child,White,Female,0,0,35,<=50K
0.0,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,>50K
24.0,Private,12,Never-married,Prof-specialty,Own-child,Black,Male,0,0,20,<=50K
21.0,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,<=50K
27.0,State-gov,13,Married-civ-spouse,Protective-serv,Wife,Black,Female,0,0,48,<=50K
90.0,Private,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,>50K
52.0,Private,6,Widowed,Sales,Unmarried,Black,Female,0,0,40,<=50K
60.0,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,35,<=50K
28.0,Private,9,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,<=50K
65.0,Local-gov,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,28,<=50K
19.0,Private,9,Never-married,Sales,Not-in-family,Asian-Pac-Islander,Male,0,0,30,<=50K
48.0,Private,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,<=50K
54.0,Private,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,<=50K
27.0,Private,9,Never-married,Other-service,Own-child,White,Male,0,0,20,<=50K
66.0,Private,11,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,35,<=50K
35.0,Federal-gov,13,Married-spouse-absent,Exec-managerial,Not-in-family,Black,Male,0,0,40,<=50K
25.0,Self-emp-not-inc,13,Never-married,Prof-specialty,Own-child,White,Male,0,0,30,<=50K
27.0,Local-gov,12,Never-married,Prof-specialty,Own-child,Black,Female,0,0,37,<=50K
60.0,Private,9,Widowed,Machine-op-inspct,Unmarried,White,Female,0,0,40,<=50K
37.0,Private,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,<=50K
42.0,Private,9,Never-married,Other-service,Own-child,White,Female,0,0,40,<=50K
42.0,Private,10,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,1590,40,<=50K
39.0,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,>50K
127.91391705377552,Local-gov,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,>50K
34.0,Private,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,>50K
60.0,?,13,Married-civ-spouse,?,Husband,Asian-Pac-Islander,Male,0,2163,25,<=50K
44.0,Private,7,Never-married,Other-service,Not-in-family,White,Female,0,0,40,<=50K
176.75541846488875,Private,14,Married-civ-spouse,Adm-clerical,Other-relative,White,Female,0,0,40,>50K
56.0,?,12,Married-civ-spouse,?,Husband,White,Male,0,0,20,<=50K
22.0,Private,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,<=50K
30.0,Self-emp-not-inc,11,Separated,Sales,Not-in-family,White,Male,0,0,40,<=50K
46.0,Local-gov,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,45,<=50K
22.0,Private,10,Never-married,Farming-fishing,Own-child,White,Male,0,0,25,<=50K
20.0,Private,9,Never-married,Sales,Own-child,Asian-Pac-Islander,Female,0,0,24,<=50K
36.0,Private,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,48,<=50K
21.0,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,20,<=50K
52.0,Self-emp-not-inc,6,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,<=50K
138.69941452329294,Self-emp-inc,9,Married-civ-spouse,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,0,0,21,<=50K
112.95771587452313,Private,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,44,<=50K
55.0,Local-gov,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,>50K
20.0,Private,10,Never-married,Transport-moving,Own-child,Asian-Pac-Islander,Male,0,0,40,<=50K
17.0,?,6,Never-married,?,Own-child,White,Male,0,0,30,<=50K
165.96239376922887,Self-emp-not-inc,9,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,55,<=50K
29.0,Private,8,Never-married,Other-service,Unmarried,Black,Female,0,0,35,<=50K
66.0,Private,9,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,4,<=50K
45.0,Self-emp-not-inc,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,<=50K
63.0,State-gov,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,1740,40,<=50K
49.0,Private,9,Never-married,Craft-repair,Not-in-family,Black,Male,0,0,40,<=50K
0.0,Federal-gov,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,>50K
31.0,Private,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,<=50K
43.0,Private,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,>50K
0.0,Self-emp-not-inc,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,35,<=50K
51.0,Private,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,>50K
39.0,?,10,Divorced,?,Not-in-family,White,Female,0,0,35,<=50K
33.0,Private,13,Married-civ-spouse,Sales,Husband,Black,Male,0,0,55,<=50K
38.0,Private,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,48,>50K
71.0,Private,14,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,15,<=50K
53.0,Federal-gov,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,<=50K
159.6083677807221,Private,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,<=50K
58.0,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,<=50K
43.0,Private,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,40,>50K
42.0,Local-gov,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,>50K
34.0,Private,13,Never-married,Sales,Own-child,White,Male,0,0,40,>50K
22.0,Private,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,35,<=50K
164.6388400578597,Local-gov,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,7298,0,40,>50K
